class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,,,,,,0,0,,,,0.28260868787765503,,1.7913768291473389,,
,,,,,,0,0,,,,,,,0.375,1.786041259765625
,,,,,,0,0,,,0.3410595953464508,,1.7908426523208618,,,
,,,,,,1,1,,,,0.3695652186870575,,1.7867317199707031,,
,,,,,,1,1,,,,,,,0.375,1.7821044921875
,,,,,,1,1,,,0.3874172270298004,,1.788988709449768,,,
,,,,,,2,2,,,,0.3913043439388275,,1.7819230556488037,,
,,,,,,2,2,,,,,,,0.375,1.7769927978515625
,,,,,,2,2,,,0.3874172270298004,,1.7845356464385986,,,
,,,,,,3,3,,,,0.28260868787765503,,1.7889512777328491,,
,,,,,,3,3,,,,,,,0.375,1.77001953125
,,,,,,3,3,,,0.3874172270298004,,1.7812138795852661,,,
,,,,,,4,4,,,,0.260869562625885,,1.7863647937774658,,
,,,,,,4,4,,,,,,,0.375,1.76226806640625
,,,,,,4,4,,,0.3874172270298004,,1.7760980129241943,,,
,,,,,,5,5,,,,0.30434781312942505,,1.7808618545532227,,
,,,,,,5,5,,,,,,,0.375,1.7523345947265625
,,,,,,5,5,,,0.3874172270298004,,1.7693121433258057,,,
,,,,,,6,6,,,,0.28260868787765503,,1.798852801322937,,
,,,,,,6,6,,,,,,,0.375,1.7404632568359375
,,,,,,6,6,,,0.3874172270298004,,1.7626638412475586,,,
,,,,,,7,7,,,,0.54347825050354,,1.7197411060333252,,
,,,,,,7,7,,,,,,,0.375,1.7254180908203125
,,,,,,7,7,,,0.3874172270298004,,1.7565487623214722,,,
,,,,,,8,8,,,,0.5869565010070801,,1.6748197078704834,,
,,,,,,8,8,,,,,,,0.375,1.703155517578125
,,,,,,8,8,,,0.3874172270298004,,1.7440452575683594,,,
,,,,,,9,9,,,,0.3478260934352875,,1.7773308753967285,,
,,,,,,9,9,,,,,,,0.375,1.6768035888671875
,,,,,,9,9,,,0.3874172270298004,,1.7351434230804443,,,
,,,,,,10,10,,,,0.3913043439388275,,1.7209604978561401,,
,,,,,,10,10,,,,,,,0.375,1.6500320434570312
,,,,,,10,10,,,0.3874172270298004,,1.7241266965866089,,,
,,,,,,11,11,,,,0.32608696818351746,,1.7643471956253052,,
,,,,,,11,11,,,,,,,0.375,1.6227569580078125
,,,,,,11,11,,,0.3874172270298004,,1.7140634059906006,,,
,,,,,,12,12,,,,0.30434781312942505,,1.7812249660491943,,
,,,,,,12,12,,,,,,,0.375,1.6024703979492188
,,,,,,12,12,,,0.3874172270298004,,1.7014764547348022,,,
,,,,,,13,13,,,,0.3695652186870575,,1.6678060293197632,,
,,,,,,13,13,,,,,,,0.375,1.5830955505371094
,,,,,,13,13,,,0.3874172270298004,,1.6924235820770264,,,
,,,,,,14,14,,,,0.3478260934352875,,1.6779142618179321,,
,,,,,,14,14,,,,,,,0.390625,1.5596504211425781
,,,,,,14,14,,,0.3874172270298004,,1.6766650676727295,,,
,,,,,,15,15,,,,0.3695652186870575,,1.7147005796432495,,
,,,,,,15,15,,,,,,,0.390625,1.5389862060546875
