class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,0,2,,,,,0.15217390656471252,1.6260250806808472
,,,,,0,2,,,0.21371504664421082,1.6487603187561035,,
,,,,,1,5,,,,,0.21739129722118378,1.6285696029663086
,,,,,1,5,,,0.3222370147705078,1.5380690097808838,,
,,,,,2,8,,,,,0.239130437374115,1.621867060661316
,,,,,2,8,,,0.3735019862651825,1.4923738241195679,,
,,,,,3,11,,,,,0.2484472095966339,1.5989755392074585
,,,,,3,11,,,0.3901464641094208,1.4604644775390625,,
,,,,,4,14,,,,,0.3478260934352875,1.5639526844024658
,,,,,4,14,,,0.40146470069885254,1.4353599548339844,,
,,,,,5,17,,,,,0.3664596378803253,1.51249361038208
,,,,,5,17,,,0.4087882936000824,1.4171267747879028,,
,,,,,6,20,,,,,0.3726707994937897,1.4749794006347656
,,,,,6,20,,,0.4440745711326599,1.392138123512268,,
,,,,,7,23,,,,,0.42236024141311646,1.4546808004379272
,,,,,7,23,,,0.457390159368515,1.3707690238952637,,
,,,,,8,26,,,,,0.44720497727394104,1.4251095056533813
,,,,,8,26,,,0.47270306944847107,1.3515840768814087,,
,,,,,9,29,,,,,0.44720497727394104,1.414443850517273
,,,,,9,29,,,0.48868176341056824,1.330724835395813,,
,,,,,10,32,,,,,0.4378882050514221,1.4104292392730713
,,,,,10,32,,,0.48535287380218506,1.3301681280136108,,
,,,,,11,35,,,,,0.41304346919059753,1.3748666048049927
,,,,,11,35,,,0.48868176341056824,1.3074568510055542,,
,,,,,12,38,,,,,0.4534161388874054,1.3717764616012573
,,,,,12,38,,,0.49334222078323364,1.2935250997543335,,
,,,,,13,41,,,,,0.4658385217189789,1.3354601860046387
,,,,,13,41,,,0.4966711103916168,1.286694049835205,,
,,,,,14,44,,,,,0.4906832277774811,1.3259944915771484
,,,,,14,44,,,0.49800264835357666,1.2746931314468384,,
,,,,,15,47,,,,,0.47204968333244324,1.3227686882019043
,,,,,15,47,,,0.5006657838821411,1.2582930326461792,,
,,,,,16,50,,,,,0.5062111616134644,1.2991586923599243
,,,,,16,50,,,0.5113182663917542,1.2462173700332642,,
,,,,,17,53,,,,,0.5031055808067322,1.2798912525177002
,,,,,17,53,,,0.5139813423156738,1.2354860305786133,,
,,,,,18,56,,,,,0.5124223828315735,1.2701317071914673
,,,,,18,56,,,0.5066577792167664,1.2257096767425537,,
,,,,,19,59,,,,,0.5093167424201965,1.2702511548995972
,,,,,19,59,,,0.5193076133728027,1.2215875387191772,,
,,,,,20,62,,,,,0.5062111616134644,1.267181158065796
,,,,,20,62,,,0.5193076133728027,1.213435173034668,,
,,,,,21,65,,,,,0.52173912525177,1.2603058815002441
,,,,,21,65,,,0.5226364731788635,1.2021914720535278,,
,,,,,22,68,,,,,0.5124223828315735,1.2512763738632202
,,,,,22,68,,,0.5279627442359924,1.1961978673934937,,
,,,,,23,71,,,,,0.52173912525177,1.2432929277420044
,,,,,23,71,,,0.5239680409431458,1.1863465309143066,,
,,,,,24,74,,,,,0.5341615080833435,1.2421730756759644
,,,,,24,74,,,0.5266311764717102,1.1909959316253662,,
,,,,,25,77,,,,,0.5093167424201965,1.243332028388977
,,,,,25,77,,,0.5272969603538513,1.1789199113845825,,
,,,,,26,80,,,,,0.5310559272766113,1.2254570722579956
,,,,,26,80,,,0.5386151671409607,1.1742738485336304,,
,,,,,27,83,,,,,0.5155279636383057,1.2190650701522827
,,,,,27,83,,,0.5439414381980896,1.1573182344436646,,
,,,,,28,86,,,,,0.5310559272766113,1.2131038904190063
,,,,,28,86,,,0.5419440865516663,1.149617075920105,,
,,,,,29,89,,,,,0.5310559272766113,1.2099272012710571
,,,,,29,89,,,0.5366178154945374,1.1489806175231934,,
,,,,,30,92,,,,,0.5248447060585022,1.196893572807312
,,,,,30,92,,,0.545272946357727,1.141306757926941,,
,,,,,31,95,,,,,0.5310559272766113,1.202723741531372
,,,,,31,95,,,0.5512650012969971,1.1353930234909058,,
,,,,,32,98,,,,,0.5093167424201965,1.2046794891357422
,,,,,32,98,,,0.5392809510231018,1.137398362159729,,
,,,,,33,101,,,,,0.5155279636383057,1.1900341510772705
,,,,,33,101,,,0.5539280772209167,1.1251822710037231,,
,,,,,34,104,,,,,0.5248447060585022,1.1712430715560913
,,,,,34,104,,,0.5592543482780457,1.122792363166809,,
,,,,,35,107,,,,,0.5341615080833435,1.1698837280273438
,,,,,35,107,,,0.5479360818862915,1.1301634311676025,,
,,,,,36,110,,,,,0.54347825050354,1.166943907737732
,,,,,36,110,,,0.5459387302398682,1.119347095489502,,
,,,,,37,113,,,,,0.5496894121170044,1.1538892984390259
,,,,,37,113,,,0.5579227805137634,1.1095387935638428,,
,,,,,38,116,,,,,0.5372670888900757,1.1795275211334229
,,,,,38,116,,,0.5565912127494812,1.101144552230835,,
,,,,,39,119,,,,,0.5248447060585022,1.1783643960952759
,,,,,39,119,,,0.5532622933387756,1.1059801578521729,,
,,,,,40,122,,,,,0.5155279636383057,1.1675981283187866
,,,,,40,122,,,0.555259644985199,1.0965039730072021,,
,,,,,41,125,,,,,0.5559006333351135,1.1502550840377808
