epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,12,,,0.4918957054615021,1.0245717763900757
0,12,0.5057367086410522,1.0261112451553345,,
1,25,,,0.48978152871131897,1.0062237977981567
1,25,0.5098127722740173,0.9899172782897949,,
2,38,,,0.49894291162490845,0.9949399828910828
2,38,0.5197765827178955,0.9674134850502014,,
3,51,,,0.4996476471424103,0.9771561622619629
3,51,0.5315519571304321,0.9481956958770752,,
4,64,,,0.5088090300559998,0.9859050512313843
4,64,0.5457427501678467,0.9339064955711365,,
5,77,,,0.5137420892715454,0.9726919531822205
5,77,0.5520833134651184,0.9192050695419312,,
6,90,,,0.52008455991745,0.9683783054351807
6,90,0.5643116235733032,0.9046363830566406,,
7,103,,,0.5179703831672668,0.9664099216461182
7,103,0.5726147294044495,0.8909123539924622,,
8,116,,,0.516560971736908,0.9681223630905151
8,116,0.5839372277259827,0.8755072355270386,,
9,129,,,0.5250176191329956,0.9756080508232117
9,129,0.595108687877655,0.8579238653182983,,
10,142,,,0.5236081480979919,1.0047451257705688
10,142,0.6029589176177979,0.8447160124778748,,
11,155,,,0.5482734441757202,0.9682446122169495
11,155,0.6185084581375122,0.8271088004112244,,
12,168,,,0.5517970323562622,0.9816588163375854
12,168,0.6286231875419617,0.8109095692634583,,
13,181,,,0.5433403849601746,0.9831451773643494
13,181,0.6420592069625854,0.7918676137924194,,
14,194,,,0.5419309139251709,1.0052465200424194
14,194,0.647946834564209,0.7787451148033142,,
15,207,,,0.5384073257446289,0.981010377407074
15,207,0.654891312122345,0.76760333776474,,
16,220,,,0.562367856502533,0.951989471912384
16,220,0.6668176054954529,0.7489390969276428,,
17,233,,,0.5447497963905334,0.9830231666564941
17,233,0.6689311861991882,0.7371652126312256,,
18,246,,,0.5673009157180786,0.9653141498565674
18,246,0.6816123127937317,0.7219605445861816,,
19,259,,,0.5454545617103577,0.9796154499053955
19,259,0.6903683543205261,0.7078722715377808,,
20,272,,,0.5616631507873535,0.9742123484611511
20,272,0.6932367086410522,0.6971115469932556,,
21,285,,,0.5799859166145325,0.9940738677978516
21,285,0.6932367086410522,0.6935396790504456,,
22,298,,,0.5602536797523499,0.9907270669937134
22,298,0.7047101259231567,0.6753064393997192,,
23,311,,,0.5567300915718079,1.0234837532043457
23,311,0.7086352705955505,0.6703668236732483,,
24,324,,,0.5644820332527161,0.9883072376251221
24,324,0.7072765827178955,0.661660373210907,,
25,337,,,0.579281210899353,0.9958796501159668
25,337,0.7275060415267944,0.6483774781227112,,
26,350,,,0.5722339749336243,1.0201318264007568
26,350,0.7293176054954529,0.6361547708511353,,
27,363,,,0.5806906223297119,0.9974431395530701
27,363,0.7336956262588501,0.630185604095459,,
28,376,,,0.544045090675354,1.0431565046310425
28,376,0.7374697923660278,0.6203463077545166,,
29,389,,,0.586328387260437,0.9929232597351074
29,389,0.7441123127937317,0.6114562153816223,,
30,402,,,0.5961945056915283,0.9859873056411743
30,402,0.7483393549919128,0.6011129021644592,,
31,415,,,0.5743481516838074,1.020043134689331
31,415,0.751207709312439,0.5954653024673462,,
32,428,,,0.5729386806488037,1.0284119844436646
32,428,0.7573973536491394,0.5807597041130066,,
33,441,,,0.5891472697257996,1.0236787796020508
33,441,0.7580012083053589,0.576541006565094,,
34,454,,,0.5947850346565247,1.0442852973937988
34,454,0.75951087474823,0.5732566118240356,,
35,467,,,0.5884425640106201,1.0442485809326172
35,467,0.7626811861991882,0.5603857636451721,,
36,480,,,0.5898520350456238,1.047219157218933
36,480,0.7721920013427734,0.5528830289840698,,
37,493,,,0.5757575631141663,1.0659292936325073
37,493,0.7721920013427734,0.5507764220237732,,
38,506,,,0.5961945056915283,1.051300287246704
38,506,0.7791364789009094,0.5362247228622437,,
39,519,,,0.5898520350456238,1.0512292385101318
39,519,0.7814009785652161,0.5312283635139465,,
40,532,,,0.5912614464759827,1.05618155002594
40,532,0.7821558117866516,0.526864767074585,,
41,545,,,0.5778717398643494,1.0818008184432983
41,545,0.7904589176177979,0.5136012434959412,,
42,558,,,0.5778717398643494,1.0762351751327515
42,558,0.7922705411911011,0.5134977698326111,,
43,571,,,0.5968992114067078,1.0884157419204712
43,571,0.7912137508392334,0.507002592086792,,
44,584,,,0.5877378582954407,1.086601972579956
