class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,0,4,,,,,0.0693877562880516,1.5667550563812256
,,,,,0,4,,,0.3114897310733795,1.5835347175598145,,
,,,,,1,9,,,,,0.5795918107032776,1.4955974817276
,,,,,1,9,,,0.4849279224872589,1.438348412513733,,
,,,,,2,14,,,,,0.6183673739433289,1.3892667293548584
,,,,,2,14,,,0.5089558959007263,1.351108193397522,,
,,,,,3,19,,,,,0.6040816307067871,1.286548376083374
,,,,,3,19,,,0.5657492280006409,1.2857155799865723,,
,,,,,4,24,,,,,0.6693877577781677,1.2137296199798584
,,,,,4,24,,,0.5862821936607361,1.2219109535217285,,
,,,,,5,29,,,,,0.6857143044471741,1.1415448188781738
,,,,,5,29,,,0.6273481845855713,1.172412633895874,,
,,,,,6,34,,,,,0.6755102276802063,1.086201548576355
,,,,,6,34,,,0.6522498726844788,1.138863444328308,,
,,,,,7,39,,,,,0.6714285612106323,1.061355471611023
,,,,,7,39,,,0.6513761281967163,1.1012159585952759,,
,,,,,8,44,,,,,0.6857143044471741,1.01901113986969
,,,,,8,44,,,0.6553080081939697,1.0689692497253418,,
,,,,,9,49,,,,,0.6795918345451355,1.0012465715408325
,,,,,9,49,,,0.6513761281967163,1.0431528091430664,,
,,,,,10,54,,,,,0.6877551078796387,0.9782336354255676
,,,,,10,54,,,0.6592398285865784,1.0240428447723389,,
,,,,,11,59,,,,,0.6897959113121033,0.9590882658958435
,,,,,11,59,,,0.6697247624397278,1.0046411752700806,,
,,,,,12,64,,,,,0.6836734414100647,0.9579727053642273
,,,,,12,64,,,0.666229784488678,0.9904780983924866,,
,,,,,13,69,,,,,0.6693877577781677,0.9415460228919983
,,,,,13,69,,,0.6614242196083069,0.981777548789978,,
,,,,,14,74,,,,,0.6877551078796387,0.9305382370948792
,,,,,14,74,,,0.6618610620498657,0.9703750610351562,,
,,,,,15,79,,,,,0.6959183812141418,0.9345859885215759
,,,,,15,79,,,0.667540431022644,0.9616261124610901,,
,,,,,16,84,,,,,0.6857143044471741,0.9164234399795532
,,,,,16,84,,,0.6714722514152527,0.9573369026184082,,
,,,,,17,89,,,,,0.6816326379776001,0.9046299457550049
,,,,,17,89,,,0.6710354089736938,0.9472501873970032,,
,,,,,18,94,,,,,0.6857143044471741,0.9025208950042725
,,,,,18,94,,,0.6732197403907776,0.9476190805435181,,
,,,,,19,99,,,,,0.6857143044471741,0.8986726999282837
,,,,,19,99,,,0.6679772734642029,0.9496671557426453,,
,,,,,20,104,,,,,0.6836734414100647,0.9013139009475708
,,,,,20,104,,,0.6618610620498657,0.9400515556335449,,
,,,,,21,109,,,,,0.6959183812141418,0.8980787396430969
,,,,,21,109,,,0.67409348487854,0.9298908114433289,,
,,,,,22,114,,,,,0.6755102276802063,0.8928205370903015
,,,,,22,114,,,0.6745303869247437,0.924235999584198,,
,,,,,23,119,,,,,0.6877551078796387,0.8810544610023499
,,,,,23,119,,,0.6671035289764404,0.9250800609588623,,
,,,,,24,124,,,,,0.6795918345451355,0.8891730904579163
,,,,,24,124,,,0.6701616644859314,0.9187657237052917,,
,,,,,25,129,,,,,0.6918367147445679,0.8738236427307129
,,,,,25,129,,,0.6671035289764404,0.9231575727462769,,
,,,,,26,134,,,,,0.6938775777816772,0.8697777390480042
,,,,,26,134,,,0.6732197403907776,0.9130394458770752,,
,,,,,27,139,,,,,0.6734693646430969,0.8776668906211853
,,,,,27,139,,,0.6736566424369812,0.9034146070480347,,
,,,,,28,144,,,,,0.6857143044471741,0.8638108968734741
,,,,,28,144,,,0.6767147183418274,0.9032461047172546,,
,,,,,29,149,,,,,0.699999988079071,0.8587026000022888
,,,,,29,149,,,0.6788991093635559,0.8953939080238342,,
,,,,,30,154,,,,,0.6897959113121033,0.8567178249359131
,,,,,30,154,,,0.6806465983390808,0.890609085559845,,
,,,,,31,159,,,,,0.6938775777816772,0.8659366369247437
