class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,0,2,,,,,0.1690140813589096,1.7866623401641846
,,,,,,0,2,,,0.1790820211172104,1.7887459993362427,,
,,,,,,1,5,,,,,0.1690140813589096,1.7704408168792725
,,,,,,1,5,,,0.1933784782886505,1.76912522315979,,
,,,,,,2,8,,,,,0.1690140813589096,1.7683879137039185
,,,,,,2,8,,,0.2114371657371521,1.7467960119247437,,
,,,,,,3,11,,,,,0.246478870511055,1.785756230354309
,,,,,,3,11,,,0.24905943870544434,1.7289416790008545,,
,,,,,,4,14,,,,,0.246478870511055,1.8024334907531738
,,,,,,4,14,,,0.2851768136024475,1.7190860509872437,,
,,,,,,5,17,,,,,0.25704225897789,1.7989622354507446
,,,,,,5,17,,,0.29947328567504883,1.7086790800094604,,
,,,,,,6,20,,,,,0.246478870511055,1.7901980876922607
,,,,,,6,20,,,0.3062452971935272,1.707419991493225,,
,,,,,,7,23,,,,,0.246478870511055,1.7874119281768799
,,,,,,7,23,,,0.2964635193347931,1.7000426054000854,,
,,,,,,8,26,,,,,0.22887323796749115,1.8237468004226685
,,,,,,8,26,,,0.3167795240879059,1.6752207279205322,,
,,,,,,9,29,,,,,0.23239436745643616,1.9229873418807983
,,,,,,9,29,,,0.3265613317489624,1.6636781692504883,,
,,,,,,10,32,,,,,0.22887323796749115,1.9906281232833862
,,,,,,10,32,,,0.3130173087120056,1.6651073694229126,,
,,,,,,11,35,,,,,0.22887323796749115,1.9889113903045654
,,,,,,11,35,,,0.3235515356063843,1.6221851110458374,,
,,,,,,12,38,,,,,0.20070423185825348,2.037231922149658
,,,,,,12,38,,,0.3175319731235504,1.6199939250946045,,
,,,,,,13,41,,,,,0.20070423185825348,2.3588359355926514
,,,,,,13,41,,,0.3265613317489624,1.6194982528686523,,
,,,,,,14,44,,,,,0.27816900610923767,1.9203126430511475
,,,,,,14,44,,,0.32731378078460693,1.625164270401001,,
,,,,,,15,47,,,,,0.246478870511055,2.832129716873169
,,,,,,15,47,,,0.31828442215919495,1.623423457145691,,
,,,,,,16,50,,,,,0.22887323796749115,3.603510856628418
,,,,,,16,50,,,0.3288186490535736,1.6114723682403564,,
,,,,,,17,53,,,,,0.2112676054239273,2.819000005722046
,,,,,,17,53,,,0.33709555864334106,1.5996875762939453,,
,,,,,,18,56,,,,,0.2112676054239273,3.582282304763794
,,,,,,18,56,,,0.335590660572052,1.6050243377685547,,
,,,,,,19,59,,,,,0.2112676054239273,3.3765060901641846
,,,,,,19,59,,,0.35063958168029785,1.590555191040039,,
,,,,,,20,62,,,,,0.2112676054239273,2.807445526123047
,,,,,,20,62,,,0.3453724682331085,1.5747162103652954,,
,,,,,,21,65,,,,,0.22887323796749115,3.2129456996917725
,,,,,,21,65,,,0.34612491726875305,1.5707566738128662,,
,,,,,,22,68,,,,,0.22887323796749115,2.477961540222168
,,,,,,22,68,,,0.3453724682331085,1.5812883377075195,,
,,,,,,23,71,,,,,0.22887323796749115,3.5972955226898193
,,,,,,23,71,,,0.34612491726875305,1.564845323562622,,
,,,,,,24,74,,,,,0.2112676054239273,2.9464218616485596
,,,,,,24,74,,,0.3566591441631317,1.569048285484314,,
,,,,,,25,77,,,,,0.2112676054239273,2.9784562587738037
,,,,,,25,77,,,0.3566591441631317,1.5624204874038696,,
,,,,,,26,80,,,,,0.2112676054239273,2.4025535583496094
,,,,,,26,80,,,0.37170806527137756,1.5620919466018677,,
,,,,,,27,83,,,,,0.2112676054239273,2.616600513458252
,,,,,,27,83,,,0.360421359539032,1.5627102851867676,,
,,,,,,28,86,,,,,0.22887323796749115,4.148036956787109
,,,,,,28,86,,,0.3468773365020752,1.5804122686386108,,
,,,,,,29,89,,,,,0.246478870511055,2.2302379608154297
,,,,,,29,89,,,0.36418360471725464,1.5661746263504028,,
,,,,,,30,92,,,,,0.246478870511055,3.483882427215576
,,,,,,30,92,,,0.35063958168029785,1.5801202058792114,,
,,,,,,31,95,,,,,0.246478870511055,4.005083084106445
,,,,,,31,95,,,0.36945071816444397,1.5490376949310303,,
,,,,,,32,98,,,,,0.246478870511055,2.4266302585601807
,,,,,,32,98,,,0.36418360471725464,1.5569685697555542,,
,,,,,,33,101,,,,,0.22887323796749115,4.238101005554199
,,,,,,33,101,,,0.3656884729862213,1.554334044456482,,
,,,,,,34,104,,,,,0.22887323796749115,4.356255531311035
,,,,,,34,104,,,0.3747178316116333,1.5534433126449585,,
,,,,,,35,107,,,,,0.25,5.427702903747559
,,,,,,35,107,,,0.36418360471725464,1.557762861251831,,
,,,,,,36,110,,,,,0.22887323796749115,2.3220224380493164
,,,,,,36,110,,,0.35515424609184265,1.548342227935791,,
,,,,,,37,113,,,,,0.22887323796749115,4.013030529022217
,,,,,,37,113,,,0.3724604845046997,1.5505040884017944,,
,,,,,,38,116,,,,,0.22887323796749115,2.9239587783813477
,,,,,,38,116,,,0.3611738085746765,1.5501924753189087,,
,,,,,,39,119,,,,,0.3239436745643616,1.6380358934402466
,,,,,,39,119,,,0.36192625761032104,1.5367950201034546,,
,,,,,,40,122,,,,,0.25,5.673229694366455
,,,,,,40,122,,,0.37622272968292236,1.553705096244812,,
,,,,,,41,125,,,,,0.28169015049934387,3.8499338626861572
,,,,,,41,125,,,0.37321293354034424,1.5500311851501465,,
,,,,,,42,128,,,,,0.25,3.6759653091430664
,,,,,,42,128,,,0.36945071816444397,1.5440559387207031,,
,,,,,,43,131,,,,,0.23239436745643616,3.873889446258545
,,,,,,43,131,,,0.37170806527137756,1.5377167463302612,,
,,,,,,44,134,,,,,0.22887323796749115,3.8013253211975098
,,,,,,44,134,,,0.36192625761032104,1.5334049463272095,,
,,,,,,45,137,,,,,0.22887323796749115,3.414323568344116
,,,,,,45,137,,,0.3626787066459656,1.525895357131958,,
,,,,,,46,140,,,,,0.246478870511055,2.8228046894073486
