epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,1,,,0.29885056614875793,1.3726933002471924
0,1,0.26658475399017334,1.4455116987228394,,
1,3,,,0.26436781883239746,1.3657002449035645
1,3,0.31449630856513977,1.4132190942764282,,
2,5,,,0.26436781883239746,1.3620184659957886
2,5,0.3243243098258972,1.3761253356933594,,
3,7,,,0.3045977056026459,1.3561197519302368
3,7,0.312039315700531,1.3631657361984253,,
4,9,,,0.39080458879470825,1.3398830890655518
4,9,0.3378378450870514,1.344984531402588,,
5,11,,,0.43103447556495667,1.322739839553833
5,11,0.34029483795166016,1.3529616594314575,,
6,13,,,0.4482758641242981,1.3189795017242432
6,13,0.35995087027549744,1.3419300317764282,,
7,15,,,0.4195402264595032,1.317203164100647
7,15,0.375921368598938,1.324665904045105,,
8,17,,,0.4080459773540497,1.3220102787017822
8,17,0.375921368598938,1.3262345790863037,,
9,19,,,0.3850574791431427,1.3161115646362305
9,19,0.3685503602027893,1.315758466720581,,
10,21,,,0.39080458879470825,1.3036715984344482
10,21,0.37223586440086365,1.304116129875183,,
11,23,,,0.40229883790016174,1.2905722856521606
11,23,0.3624078631401062,1.3062372207641602,,
12,25,,,0.4080459773540497,1.275820016860962
12,25,0.3943488895893097,1.2936081886291504,,
13,27,,,0.4080459773540497,1.2585870027542114
13,27,0.3918918967247009,1.2865233421325684,,
14,29,,,0.4252873659133911,1.254823923110962
14,29,0.3931203782558441,1.277970552444458,,
15,31,,,0.43103447556495667,1.2587960958480835
15,31,0.4054054021835327,1.265183448791504,,
16,33,,,0.43103447556495667,1.2720189094543457
16,33,0.4115478992462158,1.2753859758377075,,
17,35,,,0.44252872467041016,1.2676048278808594
17,35,0.39680588245391846,1.2677985429763794,,
18,37,,,0.45402297377586365,1.244419813156128
18,37,0.39680588245391846,1.259943962097168,,
19,39,,,0.43103447556495667,1.231142282485962
19,39,0.3734643757343292,1.2802393436431885,,
20,41,,,0.4080459773540497,1.2272416353225708
20,41,0.4115478992462158,1.243737816810608,,
21,43,,,0.4080459773540497,1.2427024841308594
21,43,0.4066339135169983,1.2430105209350586,,
22,45,,,0.45402297377586365,1.2510172128677368
22,45,0.4078623950481415,1.2480090856552124,,
23,47,,,0.43103447556495667,1.248184323310852
23,47,0.41523340344429016,1.2424449920654297,,
24,49,,,0.4367816150188446,1.2397264242172241
24,49,0.39680588245391846,1.2478796243667603,,
25,51,,,0.43103447556495667,1.2189043760299683
25,51,0.3918918967247009,1.2337501049041748,,
26,53,,,0.4195402264595032,1.2081201076507568
26,53,0.42137593030929565,1.2120285034179688,,
27,55,,,0.4195402264595032,1.2084258794784546
27,55,0.436117947101593,1.212918996810913,,
28,57,,,0.40229883790016174,1.1909937858581543
28,57,0.44594594836235046,1.218002200126648,,
29,59,,,0.4597701132297516,1.192046046257019
29,59,0.41031941771507263,1.2093573808670044,,
30,61,,,0.45402297377586365,1.166913628578186
30,61,0.43488943576812744,1.1813139915466309,,
31,63,,,0.4655172526836395,1.1741943359375
31,63,0.43488943576812744,1.1979087591171265,,
32,65,,,0.4712643623352051,1.1582704782485962
32,65,0.43488943576812744,1.1963950395584106,,
33,67,,,0.4885057508945465,1.1525120735168457
33,67,0.45331695675849915,1.1711705923080444,,
34,69,,,0.5344827771186829,1.1793009042739868
34,69,0.4631449580192566,1.1609060764312744,,
35,71,,,0.5344827771186829,1.178707480430603
35,71,0.49140048027038574,1.1663011312484741,,
36,73,,,0.4655172526836395,1.1656697988510132
36,73,0.4742014706134796,1.1742041110992432,,
37,75,,,0.4597701132297516,1.1687530279159546
37,75,0.4754299819469452,1.1321207284927368,,
38,77,,,0.4597701132297516,1.1733250617980957
38,77,0.46437346935272217,1.1580971479415894,,
39,79,,,0.5057471394538879,1.1590758562088013
39,79,0.4631449580192566,1.1349985599517822,,
40,81,,,0.5,1.1451044082641602
40,81,0.47174447774887085,1.1292774677276611,,
41,83,,,0.5287356376647949,1.1209148168563843
41,83,0.4926289916038513,1.1401619911193848,,
42,85,,,0.517241358757019,1.1156984567642212
42,85,0.5,1.1247098445892334,,
43,87,,,0.5,1.1123958826065063
43,87,0.4950859844684601,1.1145737171173096,,
44,89,,,0.40229883790016174,1.1379390954971313
44,89,0.5024570226669312,1.1070305109024048,,
45,91,,,0.39080458879470825,1.1832659244537354
45,91,0.4754299819469452,1.1020232439041138,,
46,93,,,0.40229883790016174,1.202723503112793
46,93,0.4508599638938904,1.120002269744873,,
47,95,,,0.522988498210907,1.1207075119018555
47,95,0.4422604441642761,1.1391217708587646,,
48,97,,,0.522988498210907,1.1444969177246094
48,97,0.47788697481155396,1.108115792274475,,
49,99,,,0.49425286054611206,1.1673041582107544
49,99,0.488943487405777,1.147035002708435,,
50,101,,,0.49425286054611206,1.0932608842849731
50,101,0.5122849941253662,1.1397838592529297,,
51,103,,,0.39080458879470825,1.1022425889968872
51,103,0.4803439676761627,1.1003469228744507,,
52,105,,,0.39080458879470825,1.116023063659668
52,105,0.48402947187423706,1.084214210510254,,
53,107,,,0.4885057508945465,1.0939611196517944
53,107,0.4766584634780884,1.084223985671997,,
54,109,,,0.517241358757019,1.1042933464050293
54,109,0.5085995197296143,1.0831551551818848,,
55,111,,,0.49425286054611206,1.120368480682373
55,111,0.5319410562515259,1.0817512273788452,,
56,113,,,0.545976996421814,1.1088718175888062
56,113,0.525798499584198,1.1024683713912964,,
57,115,,,0.44252872467041016,1.0976723432540894
57,115,0.49017199873924255,1.0942326784133911,,
58,117,,,0.43103447556495667,1.085801601409912
58,117,0.49631449580192566,1.0701277256011963,,
59,119,,,0.517241358757019,1.0636940002441406
59,119,0.5,1.0755378007888794,,
60,121,,,0.522988498210907,1.042049765586853
60,121,0.5012285113334656,1.0851202011108398,,
61,123,,,0.522988498210907,1.0586844682693481
61,123,0.5049139857292175,1.0626237392425537,,
62,125,,,0.5114942789077759,1.074646234512329
62,125,0.5098280310630798,1.0534566640853882,,
63,127,,,0.5287356376647949,1.0564422607421875
63,127,0.5233415365219116,1.0519782304763794,,
64,129,,,0.5114942789077759,1.049560546875
64,129,0.4926289916038513,1.0521236658096313,,
65,131,,,0.5,1.0471538305282593
65,131,0.4987714886665344,1.0623676776885986,,
66,133,,,0.5632184147834778,1.0528937578201294
66,133,0.5294840335845947,1.0360429286956787,,
67,135,,,0.5517241358757019,1.0542924404144287
67,135,0.525798499584198,1.0624269247055054,,
68,137,,,0.4712643623352051,1.058921456336975
68,137,0.5135135054588318,1.0370339155197144,,
69,139,,,0.4885057508945465,1.044427514076233
69,139,0.522113025188446,1.0288660526275635,,
70,141,,,0.4712643623352051,1.0489219427108765
70,141,0.49631449580192566,1.0397051572799683,,
71,143,,,0.4712643623352051,1.0411837100982666
71,143,0.5343980193138123,1.0333048105239868,,
72,145,,,0.5344827771186829,1.0429672002792358
72,145,0.4926289916038513,1.0461188554763794,,
73,147,,,0.5287356376647949,1.048974871635437
73,147,0.5085995197296143,1.036759614944458,,
74,149,,,0.522988498210907,1.0436124801635742
74,149,0.49631449580192566,1.0382672548294067,,
75,151,,,0.5344827771186829,1.0378860235214233
75,151,0.47788697481155396,1.0360373258590698,,
76,153,,,0.5344827771186829,1.040569543838501
76,153,0.5687960982322693,1.0082138776779175,,
77,155,,,0.5287356376647949,1.0469238758087158
77,155,0.5307125449180603,1.033494472503662,,
78,157,,,0.5632184147834778,1.046629786491394
78,157,0.5442260503768921,1.0161293745040894,,
79,159,,,0.522988498210907,1.0336705446243286
79,159,0.5122849941253662,1.0355066061019897,,
80,161,,,0.545976996421814,1.0312331914901733
80,161,0.5319410562515259,1.0032511949539185,,
81,163,,,0.5114942789077759,1.0238114595413208
81,163,0.5061424970626831,1.0137956142425537,,
82,165,,,0.517241358757019,1.024326205253601
82,165,0.5171990394592285,1.0117816925048828,,
83,167,,,0.522988498210907,1.0433632135391235
83,167,0.5466830730438232,1.0153803825378418,,
84,169,,,0.517241358757019,1.0381852388381958
84,169,0.5356265306472778,1.0094503164291382,,
85,171,,,0.545976996421814,1.0275137424468994
85,171,0.5393120646476746,1.0178782939910889,,
86,173,,,0.522988498210907,1.0100204944610596
86,173,0.5589680671691895,1.0130378007888794,,
87,175,,,0.5287356376647949,1.006881594657898
87,175,0.5552825331687927,0.9821535348892212,,
88,177,,,0.522988498210907,1.0057623386383057
88,177,0.5,0.9983636140823364,,
89,179,,,0.540229856967926,0.9957684278488159
89,179,0.5343980193138123,1.001966953277588,,
90,181,,,0.540229856967926,1.009126901626587
90,181,0.5466830730438232,0.9953002333641052,,
91,183,,,0.568965494632721,1.0404231548309326
91,183,0.5417690277099609,0.9870991110801697,,
92,185,,,0.5804597735404968,1.0318161249160767
92,185,0.5270270109176636,1.0064384937286377,,
93,187,,,0.5517241358757019,0.9981363415718079
93,187,0.5294840335845947,0.9893255233764648,,
94,189,,,0.5344827771186829,0.992163896560669
94,189,0.5515970587730408,0.9817443490028381,,
95,191,,,0.522988498210907,1.0112113952636719
95,191,0.5319410562515259,1.0034878253936768,,
96,193,,,0.5057471394538879,1.0295342206954956
96,193,0.5417690277099609,0.9927564859390259,,
97,195,,,0.568965494632721,1.0241339206695557
97,195,0.538083553314209,0.9851832985877991,,
98,197,,,0.568965494632721,1.0051666498184204
98,197,0.5405405163764954,0.9845883846282959,,
99,199,,,0.5287356376647949,0.9929124712944031
99,199,0.538083553314209,0.9959506392478943,,
100,201,,,0.5804597735404968,0.9817400574684143
100,201,0.5577395558357239,0.9738848805427551,,
101,203,,,0.545976996421814,1.0105382204055786
101,203,0.5368550419807434,0.992402195930481,,
102,205,,,0.5804597735404968,0.9918200373649597
102,205,0.5429975390434265,0.9812812805175781,,
103,207,,,0.5919540524482727,0.995881974697113
103,207,0.5368550419807434,0.974799394607544,,
104,209,,,0.568965494632721,1.0028400421142578
104,209,0.5651105642318726,0.9783551096916199,,
105,211,,,0.540229856967926,0.9948285222053528
105,211,0.5786240696907043,0.9870008826255798,,
106,213,,,0.522988498210907,1.0008387565612793
106,213,0.522113025188446,0.9997609853744507,,
107,215,,,0.6034482717514038,0.9828569889068604
107,215,0.5233415365219116,0.9903997182846069,,
108,217,,,0.5747126340866089,0.9955084919929504
108,217,0.5589680671691895,0.9671942591667175,,
109,219,,,0.6034482717514038,0.9930254220962524
109,219,0.5687960982322693,0.9789451956748962,,
110,221,,,0.5574712753295898,0.96726393699646
110,221,0.5810810923576355,0.9905591011047363,,
111,223,,,0.4712643623352051,1.000458836555481
111,223,0.5454545617103577,0.9673783779144287,,
112,225,,,0.540229856967926,0.9820391535758972
112,225,0.5307125449180603,0.9729148149490356,,
113,227,,,0.522988498210907,0.9728525876998901
113,227,0.5429975390434265,0.9743480086326599,,
114,229,,,0.568965494632721,0.9749007225036621
114,229,0.5737100839614868,0.9609852433204651,,
115,231,,,0.568965494632721,0.962415337562561
115,231,0.5712530612945557,0.9486868381500244,,
116,233,,,0.5747126340866089,0.9448782205581665
116,233,0.5798525810241699,0.9456018805503845,,
117,235,,,0.5804597735404968,0.9449262022972107
117,235,0.5528255701065063,0.9630128741264343,,
118,237,,,0.5747126340866089,0.9488783478736877
118,237,0.5331695079803467,0.9700614213943481,,
119,239,,,0.5804597735404968,0.9720027446746826
119,239,0.5749385952949524,0.9528230428695679,,
120,241,,,0.568965494632721,0.9749659299850464
120,241,0.5687960982322693,0.9531500935554504,,
121,243,,,0.568965494632721,0.9929980635643005
121,243,0.5626535415649414,0.9516317248344421,,
122,245,,,0.540229856967926,1.0064901113510132
122,245,0.5589680671691895,0.9499384164810181,,
123,247,,,0.5919540524482727,1.0054975748062134
123,247,0.5798525810241699,0.9326890707015991,,
124,249,,,0.5804597735404968,1.0192142724990845
124,249,0.5823096036911011,0.9604718685150146,,
