class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.36016950011253357,1.3833049535751343
,,,,0,2,,,0.3055303692817688,1.3848488330841064,,
,,,,1,5,,,,,0.41101694107055664,1.3765310049057007
,,,,1,5,,,0.44514960050582886,1.3769451379776,,
,,,,2,8,,,,,0.41525423526763916,1.3640508651733398
,,,,2,8,,,0.4904805123806,1.3655751943588257,,
,,,,3,11,,,,,0.45338982343673706,1.345632791519165
,,,,3,11,,,0.49682682752609253,1.3480688333511353,,
,,,,4,14,,,,,0.5466101765632629,1.3205194473266602
,,,,4,14,,,0.49954667687416077,1.3239353895187378,,
,,,,5,17,,,,,0.4661017060279846,1.2922652959823608
,,,,5,17,,,0.5285584926605225,1.2935960292816162,,
,,,,6,20,,,,,0.5127118825912476,1.257456660270691
,,,,6,20,,,0.5131459832191467,1.2578448057174683,,
,,,,7,23,,,,,0.508474588394165,1.2243444919586182
,,,,7,23,,,0.5475974678993225,1.2200745344161987,,
,,,,8,26,,,,,0.4661017060279846,1.20933198928833
,,,,8,26,,,0.5303717255592346,1.182931900024414,,
,,,,9,29,,,,,0.5042372941970825,1.142161250114441
,,,,9,29,,,0.5330915451049805,1.154978632926941,,
,,,,10,32,,,,,0.5423728823661804,1.1039232015609741
,,,,10,32,,,0.5312783122062683,1.1093486547470093,,
,,,,11,35,,,,,0.5381355881690979,1.1145340204238892
,,,,11,35,,,0.553037166595459,1.0519554615020752,,
,,,,12,38,,,,,0.5,1.0627394914627075
,,,,12,38,,,0.5639165639877319,1.0245554447174072,,
,,,,13,41,,,,,0.5169491767883301,1.0472898483276367
,,,,13,41,,,0.5503172874450684,0.9944459795951843,,
,,,,14,44,,,,,0.5805084705352783,1.0033724308013916
,,,,14,44,,,0.542157769203186,0.9681283831596375,,
,,,,15,47,,,,,0.5211864113807678,1.0820825099945068
,,,,15,47,,,0.5729827880859375,0.9444948434829712,,
,,,,16,50,,,,,0.4788135588169098,1.0121418237686157
,,,,16,50,,,0.5566636323928833,0.9330636262893677,,
,,,,17,53,,,,,0.5127118825912476,0.9688280820846558
,,,,17,53,,,0.5385313034057617,0.9489916563034058,,
,,,,18,56,,,,,0.5635592937469482,1.133484125137329
,,,,18,56,,,0.5865820646286011,0.90358966588974,,
,,,,19,59,,,,,0.5889830589294434,1.0791767835617065
,,,,19,59,,,0.5766092538833618,1.0058921575546265,,
,,,,20,62,,,,,0.5296609997749329,0.9600464105606079
,,,,20,62,,,0.5983681082725525,0.9260358214378357,,
,,,,21,65,,,,,0.5,0.9945293068885803
,,,,21,65,,,0.6282864809036255,0.8806029558181763,,
,,,,22,68,,,,,0.5635592937469482,0.932230532169342
,,,,22,68,,,0.597461462020874,0.8904794454574585,,
,,,,23,71,,,,,0.6228813529014587,0.8966910243034363
,,,,23,71,,,0.6391659379005432,0.8574202656745911,,
,,,,24,74,,,,,0.5847457647323608,0.9127042293548584
,,,,24,74,,,0.6473254561424255,0.8435234427452087,,
,,,,25,77,,,,,0.5635592937469482,0.9583585262298584
,,,,25,77,,,0.6582049131393433,0.814489483833313,,
,,,,26,80,,,,,0.6398305296897888,0.8681101202964783
,,,,26,80,,,0.6319129467010498,0.8517310619354248,,
,,,,27,83,,,,,0.6610169410705566,0.8539873361587524
,,,,27,83,,,0.6563916802406311,0.8233546018600464,,
,,,,28,86,,,,,0.6271186470985413,0.9201080203056335
,,,,28,86,,,0.6509519219398499,0.7850160002708435,,
,,,,29,89,,,,,0.5932203531265259,0.9060080051422119
,,,,29,89,,,0.6554850339889526,0.7914462089538574,,
,,,,30,92,,,,,0.555084764957428,0.8935379385948181
,,,,30,92,,,0.667271077632904,0.782724142074585,,
,,,,31,95,,,,,0.6737288236618042,0.8174323439598083
,,,,31,95,,,0.6572982668876648,0.7818667888641357,,
,,,,32,98,,,,,0.5974576473236084,0.9572015404701233
,,,,32,98,,,0.6681777238845825,0.761157751083374,,
,,,,33,99,,,,,0.6016949415206909,0.9465528130531311
,,,,33,98,,,0.6796875,0.8300890326499939,,
0.8103448152542114,0.546875,0.7368420958518982,0.48275861144065857,34,99,0.6413502097129822,0.8025258779525757,,,,
