epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.16796875,,1.7922214269638062,,
0,1,,0.1666666716337204,,1.7913388013839722,,
0,1,,,,,0.22159090638160706,1.7914961576461792
0,1,0.1958637535572052,,1.7914235591888428,,,
1,2,,0.21875,,1.789193868637085,,
1,3,,0.2222222238779068,,1.7893989086151123,,
1,3,,,,,0.23295454680919647,1.7914032936096191
1,3,0.19829683005809784,,1.7894874811172485,,,
2,4,,0.2734375,,1.7875430583953857,,
2,5,,0.20370370149612427,,1.7900538444519043,,
2,5,,,,,0.19886364042758942,1.7910853624343872
2,5,0.25669100880622864,,1.7879328727722168,,,
