epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,1,,,0.32758620381355286,1.3811568021774292
0,1,0.2371007353067398,1.3866971731185913,,
1,3,,,0.33908045291900635,1.3773572444915771
1,3,0.2567567527294159,1.3839162588119507,,
2,5,,,0.3333333432674408,1.3732433319091797
2,5,0.2862407863140106,1.3817520141601562,,
3,7,,,0.32758620381355286,1.3694941997528076
3,7,0.2800982892513275,1.3792469501495361,,
4,9,,,0.32758620381355286,1.365952730178833
4,9,0.2813267707824707,1.3743906021118164,,
5,11,,,0.29885056614875793,1.3642016649246216
5,11,0.3169533312320709,1.3669379949569702,,
6,13,,,0.27586206793785095,1.3572731018066406
6,13,0.34029483795166016,1.3579611778259277,,
7,15,,,0.2931034564971924,1.3467947244644165
7,15,0.35872235894203186,1.3503142595291138,,
8,17,,,0.3448275923728943,1.329453706741333
8,17,0.3673218786716461,1.3322399854660034,,
9,19,,,0.3563218414783478,1.3025848865509033
9,19,0.37223586440086365,1.3112810850143433,,
10,21,,,0.32758620381355286,1.3124361038208008
10,21,0.3734643757343292,1.2956489324569702,,
11,23,,,0.33908045291900635,1.4390181303024292
11,23,0.38329237699508667,1.271332025527954,,
12,25,,,0.3448275923728943,1.4592509269714355
12,25,0.40417689085006714,1.2503854036331177,,
13,27,,,0.40229883790016174,1.3304650783538818
13,27,0.4385749399662018,1.224004864692688,,
14,29,,,0.4080459773540497,1.272121787071228
14,29,0.4631449580192566,1.1867616176605225,,
15,31,,,0.36206895112991333,1.2694772481918335
15,31,0.4742014706134796,1.1626662015914917,,
16,33,,,0.37931033968925476,1.2596105337142944
16,33,0.5,1.120640516281128,,
17,35,,,0.4137931168079376,1.2278519868850708
17,35,0.5368550419807434,1.068548321723938,,
18,37,,,0.3218390941619873,1.465518593788147
18,37,0.5491400361061096,1.0168421268463135,,
19,39,,,0.39080458879470825,1.269605040550232
19,39,0.5626535415649414,0.9737443923950195,,
20,41,,,0.37931033968925476,1.2832577228546143
20,41,0.6056510806083679,0.9159325957298279,,
21,43,,,0.4482758641242981,1.1973813772201538
21,43,0.5761670470237732,0.8918444514274597,,
22,45,,,0.39080458879470825,1.2217559814453125
22,45,0.6289926171302795,0.8273786306381226,,
23,47,,,0.36781609058380127,1.2364040613174438
23,47,0.6670761704444885,0.7787879705429077,,
24,49,,,0.40229883790016174,1.2985868453979492
24,49,0.6695331931114197,0.727630078792572,,
25,51,,,0.4195402264595032,1.2981067895889282
25,51,0.6855036616325378,0.6833246350288391,,
26,53,,,0.4080459773540497,1.36500883102417
26,53,0.6584766507148743,0.6752599477767944,,
27,55,,,0.4367816150188446,1.4072524309158325
27,55,0.7334152460098267,0.6083800196647644,,
28,57,,,0.5114942789077759,1.594609260559082
