class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,,,,,,0,0,,,,0.2578125,,1.795068383216858,,
,,,,,,0,1,,,,0.30000001192092896,,1.7834879159927368,,
,,,,,,0,1,,,,,,,0.11627907305955887,1.7825298309326172
,,,,,,0,1,,,0.2857142984867096,,1.7868719100952148,,,
,,,,,,1,2,,,,0.39453125,,1.761858582496643,,
,,,,,,1,3,,,,0.41111111640930176,,1.7533068656921387,,
,,,,,,1,3,,,,,,,0.4806201457977295,1.7704505920410156
,,,,,,1,3,,,0.3770764172077179,,1.7567408084869385,,,
,,,,,,2,4,,,,0.33203125,,1.7542219161987305,,
,,,,,,2,5,,,,0.3777777850627899,,1.7149052619934082,,
,,,,,,2,5,,,,,,,0.4806201457977295,1.7604566812515259
,,,,,,2,5,,,0.36378738284111023,,1.7392152547836304,,,
,,,,,,3,6,,,,0.3515625,,1.7253371477127075,,
,,,,,,3,7,,,,0.3777777850627899,,1.7076473236083984,,
,,,,,,3,7,,,,,,,0.4806201457977295,1.7555066347122192
,,,,,,3,7,,,0.3720930218696594,,1.718940019607544,,,
,,,,,,4,8,,,,0.34765625,,1.6998252868652344,,
,,,,,,4,9,,,,0.4333333373069763,,1.6359200477600098,,
,,,,,,4,9,,,,,,,0.4806201457977295,1.755423665046692
,,,,,,4,9,,,0.36378738284111023,,1.6934109926223755,,,
,,,,,,5,10,,,,0.40234375,,1.6827285289764404,,
,,,,,,5,11,,,,0.3888888955116272,,1.6543415784835815,,
,,,,,,5,11,,,,,,,0.4806201457977295,1.757143259048462
,,,,,,5,11,,,0.39867109060287476,,1.6588773727416992,,,
,,,,,,6,12,,,,0.484375,,1.57899808883667,,
,,,,,,6,13,,,,0.47777777910232544,,1.6099226474761963,,
,,,,,,6,13,,,,,,,0.4806201457977295,1.753607988357544
,,,,,,6,13,,,0.460132896900177,,1.6179821491241455,,,
,,,,,,7,14,,,,0.4140625,,1.6003336906433105,,
,,,,,,7,15,,,,0.46666666865348816,,1.5081201791763306,,
,,,,,,7,15,,,,,,,0.4806201457977295,1.7424618005752563
,,,,,,7,15,,,0.4651162922382355,,1.5577120780944824,,,
,,,,,,8,16,,,,0.5,,1.49971342086792,,
,,,,,,8,17,,,,0.41111111640930176,,1.5279892683029175,,
,,,,,,8,17,,,,,,,0.4806201457977295,1.7015455961227417
,,,,,,8,17,,,0.4833886921405792,,1.4989372491836548,,,
,,,,,,9,18,,,,0.5546875,,1.4305646419525146,,
,,,,,,9,19,,,,0.46666666865348816,,1.4208632707595825,,
,,,,,,9,19,,,,,,,0.4806201457977295,1.679206132888794
,,,,,,9,19,,,0.5448504686355591,,1.4284921884536743,,,
,,,,,,10,20,,,,0.58203125,,1.3500354290008545,,
,,,,,,10,21,,,,0.6000000238418579,,1.3172870874404907,,
,,,,,,10,21,,,,,,,0.24031007289886475,1.6848841905593872
,,,,,,10,21,,,0.5980066657066345,,1.3393813371658325,,,
,,,,,,11,22,,,,0.66015625,,1.250646710395813,,
,,,,,,11,23,,,,0.6111111044883728,,1.3006037473678589,,
,,,,,,11,23,,,,,,,0.1627907007932663,1.8674784898757935
,,,,,,11,23,,,0.6146179437637329,,1.274856686592102,,,
,,,,,,12,24,,,,0.6953125,,1.1759129762649536,,
,,,,,,12,25,,,,0.6888889074325562,,1.1476277112960815,,
,,,,,,12,25,,,,,,,0.22480620443820953,1.6595180034637451
,,,,,,12,25,,,0.6893687844276428,,1.162899136543274,,,
,,,,,,13,26,,,,0.73046875,,1.0693273544311523,,
,,,,,,13,27,,,,0.7333333492279053,,1.09295654296875,,
,,,,,,13,27,,,,,,,0.12403100728988647,2.7729732990264893
,,,,,,13,27,,,0.6976743936538696,,1.1116890907287598,,,
,,,,,,14,28,,,,0.75,,1.0341579914093018,,
,,,,,,14,29,,,,0.7111111283302307,,1.0337550640106201,,
,,,,,,14,29,,,,,,,0.3178294599056244,1.600771427154541
,,,,,,14,29,,,0.7392026782035828,,1.041461706161499,,,
,,,,,,15,30,,,,0.7421875,,0.9509796500205994,,
,,,,,,15,31,,,,0.7888888716697693,,0.8485408425331116,,
,,,,,,15,31,,,,,,,0.23255814611911774,1.7435760498046875
,,,,,,15,31,,,0.7475082874298096,,0.9518911242485046,,,
,,,,,,16,32,,,,0.7421875,,0.8755481243133545,,
,,,,,,16,33,,,,0.7111111283302307,,0.8998733162879944,,
,,,,,,16,33,,,,,,,0.3255814015865326,1.618708610534668
,,,,,,16,33,,,0.7691029906272888,,0.8481373190879822,,,
,,,,,,17,34,,,,0.79296875,,0.7861517667770386,,
,,,,,,17,35,,,,0.855555534362793,,0.7801206707954407,,
,,,,,,17,35,,,,,,,0.3720930218696594,1.5038044452667236
,,,,,,17,35,,,0.7923588156700134,,0.7873547077178955,,,
,,,,,,18,36,,,,0.83203125,,0.7341688275337219,,
,,,,,,18,37,,,,0.8888888955116272,,0.6219053268432617,,
,,,,,,18,37,,,,,,,0.4806201457977295,1.3240301609039307
,,,,,,18,37,,,0.8305647969245911,,0.733161211013794,,,
,,,,,,19,38,,,,0.8359375,,0.643015444278717,,
,,,,,,19,39,,,,0.7777777910232544,,0.720241904258728,,
,,,,,,19,39,,,,,,,0.39534884691238403,1.8463692665100098
,,,,,,19,39,,,0.8189368844032288,,0.6626946330070496,,,
,,,,,,20,40,,,,0.828125,,0.638110339641571,,
,,,,,,20,41,,,,0.8888888955116272,,0.5215421319007874,,
,,,,,,20,41,,,,,,,0.40310078859329224,1.3968535661697388
,,,,,,20,41,,,0.8205980062484741,,0.6477011442184448,,,
,,,,,,21,42,,,,0.86328125,,0.5499963760375977,,
,,,,,,21,43,,,,0.8888888955116272,,0.5486741065979004,,
,,,,,,21,43,,,,,,,0.41085270047187805,1.5352753400802612
,,,,,,21,43,,,0.8754152655601501,,0.5433664917945862,,,
,,,,,,22,44,,,,0.87109375,,0.5455759167671204,,
,,,,,,22,45,,,,0.855555534362793,,0.5692751407623291,,
,,,,,,22,45,,,,,,,0.5891472697257996,1.1685312986373901
