class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,0,2,,,,,0.1764705926179886,1.7799376249313354
,,,,,,0,2,,,0.23694390058517456,1.7860223054885864,,
,,,,,,1,5,,,,,0.3031674325466156,1.755691409111023
,,,,,,1,5,,,0.3626692593097687,1.7425719499588013,,
,,,,,,2,8,,,,,0.3529411852359772,1.704569935798645
,,,,,,2,8,,,0.37330755591392517,1.6837760210037231,,
,,,,,,3,11,,,,,0.27149322628974915,1.6496615409851074
,,,,,,3,11,,,0.3762089014053345,1.614439606666565,,
,,,,,,4,14,,,,,0.3710407316684723,1.5349087715148926
,,,,,,4,14,,,0.3675048351287842,1.540234088897705,,
,,,,,,5,17,,,,,0.3891402781009674,1.4523870944976807
,,,,,,5,17,,,0.38974854350090027,1.4610865116119385,,
,,,,,,6,20,,,,,0.40271493792533875,1.3863873481750488
,,,,,,6,20,,,0.39748549461364746,1.3970876932144165,,
,,,,,,7,23,,,,,0.42533937096595764,1.306424617767334
,,,,,,7,23,,,0.39845260977745056,1.3487462997436523,,
,,,,,,8,26,,,,,0.4615384638309479,1.2470791339874268
,,,,,,8,26,,,0.42843326926231384,1.2926437854766846,,
,,,,,,9,29,,,,,0.48868778347969055,1.2303649187088013
,,,,,,9,29,,,0.4593810439109802,1.2458618879318237,,
,,,,,,10,32,,,,,0.479638010263443,1.1733711957931519
,,,,,,10,32,,,0.4738878011703491,1.199325442314148,,
,,,,,,11,35,,,,,0.4343891441822052,1.2164359092712402
,,,,,,11,35,,,0.4738878011703491,1.1889642477035522,,
,,,,,,12,38,,,,,0.47058823704719543,1.1772466897964478
,,,,,,12,38,,,0.4777562916278839,1.155293583869934,,
,,,,,,13,41,,,,,0.529411792755127,1.1337789297103882
,,,,,,13,41,,,0.4835589826107025,1.1143343448638916,,
,,,,,,14,44,,,,,0.5248869061470032,1.1188722848892212
,,,,,,14,44,,,0.5135396718978882,1.1085094213485718,,
,,,,,,15,47,,,,,0.46606335043907166,1.1513899564743042
,,,,,,15,47,,,0.5280464291572571,1.0904439687728882,,
,,,,,,16,50,,,,,0.4751131236553192,1.1174166202545166
,,,,,,16,50,,,0.5338491201400757,1.058476209640503,,
,,,,,,17,53,,,,,0.5384615659713745,1.1979814767837524
,,,,,,17,53,,,0.5386847257614136,1.0685300827026367,,
,,,,,,18,56,,,,,0.5158371329307556,1.1176862716674805
,,,,,,18,56,,,0.5174081325531006,1.0866106748580933,,
,,,,,,19,59,,,,,0.529411792755127,1.0699211359024048
,,,,,,19,59,,,0.5261121988296509,1.0537803173065186,,
,,,,,,20,62,,,,,0.529411792755127,1.0688170194625854
,,,,,,20,62,,,0.5377175807952881,1.0190308094024658,,
,,,,,,21,65,,,,,0.4841628968715668,1.5764952898025513
,,,,,,21,65,,,0.5435203313827515,1.004767894744873,,
,,,,,,22,68,,,,,0.438914030790329,1.4435126781463623
,,,,,,22,68,,,0.5241779685020447,1.0650098323822021,,
,,,,,,23,71,,,,,0.42533937096595764,1.4687671661376953
,,,,,,23,71,,,0.5377175807952881,1.0441925525665283,,
,,,,,,24,74,,,,,0.44796380400657654,1.9235435724258423
,,,,,,24,74,,,0.5280464291572571,1.0282821655273438,,
,,,,,,25,77,,,,,0.38461539149284363,1.3794022798538208
,,,,,,25,77,,,0.5290135145187378,1.0301685333251953,,
