epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,3,,,0.14742015302181244,1.657509684562683
0,3,0.3243953585624695,1.5655241012573242,,
1,7,,,0.18427518010139465,1.6332299709320068
1,7,0.4679284989833832,1.4747058153152466,,
2,11,,,0.4422604441642761,1.5443099737167358
2,11,0.4773922264575958,1.4160656929016113,,
3,15,,,0.4742014706134796,1.444227933883667
3,15,0.48843324184417725,1.3829679489135742,,
4,19,,,0.47911548614501953,1.3704626560211182
4,19,0.4936908483505249,1.3567267656326294,,
5,23,,,0.488943487405777,1.323585867881775
5,23,0.5073606967926025,1.3273003101348877,,
6,27,,,0.49140048027038574,1.2974849939346313
6,27,0.504206120967865,1.3049912452697754,,
7,31,,,0.5356265306472778,1.2725107669830322
7,31,0.504206120967865,1.2908190488815308,,
8,35,,,0.4938575029373169,1.2568250894546509
8,35,0.5031545758247375,1.271767020225525,,
9,39,,,0.5135135054588318,1.2437033653259277
9,39,0.5126183032989502,1.2531230449676514,,
10,43,,,0.49140048027038574,1.2311525344848633
10,43,0.4936908483505249,1.2500638961791992,,
11,47,,,0.5110564827919006,1.228140115737915
11,47,0.5141955614089966,1.2325053215026855,,
12,51,,,0.5085995197296143,1.2167854309082031
12,51,0.5252366065979004,1.2203532457351685,,
13,55,,,0.5012285113334656,1.1986374855041504
13,55,0.5136698484420776,1.2098138332366943,,
14,59,,,0.5159705281257629,1.1909410953521729
14,59,0.5178759098052979,1.2009656429290771,,
15,63,,,0.5012285113334656,1.1879528760910034
15,63,0.5136698484420776,1.1925487518310547,,
16,67,,,0.5282555222511292,1.1893589496612549
16,67,0.5162986516952515,1.1818807125091553,,
17,71,,,0.5208845138549805,1.1754777431488037
17,71,0.5205047130584717,1.1822336912155151,,
18,75,,,0.5085995197296143,1.1657174825668335
18,75,0.5325972437858582,1.170408010482788,,
19,79,,,0.5307125449180603,1.1723276376724243
19,79,0.5362775921821594,1.1557828187942505,,
20,83,,,0.538083553314209,1.1515591144561768
20,83,0.5336487889289856,1.1454930305480957,,
21,87,,,0.5159705281257629,1.147416591644287
21,87,0.5252366065979004,1.1394044160842896,,
22,91,,,0.525798499584198,1.1415355205535889
22,91,0.5325972437858582,1.138923168182373,,
23,95,,,0.5331695079803467,1.12362539768219
23,95,0.5378549098968506,1.1306188106536865,,
24,99,,,0.547911524772644,1.1315237283706665
24,99,0.5252366065979004,1.1215946674346924,,
25,103,,,0.547911524772644,1.1088978052139282
25,103,0.5441640615463257,1.1233869791030884,,
26,107,,,0.5282555222511292,1.1095672845840454
26,107,0.5404837131500244,1.1120476722717285,,
27,111,,,0.538083553314209,1.1166127920150757
27,111,0.5410094857215881,1.1204252243041992,,
28,115,,,0.5552825331687927,1.1034241914749146
28,115,0.5425867438316345,1.1145159006118774,,
29,119,,,0.5675675868988037,1.1119046211242676
29,119,0.5415351986885071,1.1044262647628784,,
30,123,,,0.5356265306472778,1.092978835105896
30,123,0.5567823052406311,1.1015974283218384,,
31,127,,,0.5429975390434265,1.0988913774490356
31,127,0.5415351986885071,1.1037238836288452,,
32,131,,,0.5331695079803467,1.098589301109314
32,131,0.5520504713058472,1.0973509550094604,,
33,135,,,0.547911524772644,1.0955363512039185
33,135,0.5520504713058472,1.0881024599075317,,
34,139,,,0.538083553314209,1.0911592245101929
34,139,0.5404837131500244,1.0872167348861694,,
35,143,,,0.5626535415649414,1.081093668937683
35,143,0.5509989261627197,1.0854694843292236,,
36,147,,,0.5651105642318726,1.0815699100494385
36,147,0.5672975778579712,1.0726466178894043,,
37,151,,,0.5552825331687927,1.0811530351638794
37,151,0.5488958954811096,1.0833793878555298,,
38,155,,,0.5651105642318726,1.0830062627792358
38,155,0.5604626536369324,1.0760219097137451,,
39,159,,,0.6068795919418335,1.0718088150024414
39,159,0.5657203197479248,1.0733106136322021,,
40,163,,,0.5945945978164673,1.06564199924469
40,163,0.5646687746047974,1.0660686492919922,,
41,167,,,0.560196578502655,1.0934267044067383
41,167,0.5704521536827087,1.0656007528305054,,
