epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.11917098611593246,,1.7923649549484253,,
0,0,,,,,0.3958333432674408,1.7834371328353882
0,0,0.11804009228944778,,1.7922883033752441,,,
1,1,,0.39896371960639954,,1.7883355617523193,,
1,1,,,,,0.3958333432674408,1.77679443359375
1,1,0.3853006660938263,,1.7888038158416748,,,
2,2,,0.393782377243042,,1.78550386428833,,
2,2,,,,,0.3958333432674408,1.769683837890625
2,2,0.3853006660938263,,1.7843682765960693,,,
3,3,,0.39896371960639954,,1.7805863618850708,,
3,3,,,,,0.3958333432674408,1.760406494140625
3,3,0.3897550106048584,,1.780596137046814,,,
4,4,,0.4455958604812622,,1.7700129747390747,,
4,4,,,,,0.3958333432674408,1.7470296621322632
4,4,0.3897550106048584,,1.7757893800735474,,,
5,5,,0.35233160853385925,,1.7787901163101196,,
5,5,,,,,0.3958333432674408,1.72802734375
5,5,0.3897550106048584,,1.7698802947998047,,,
6,6,,0.4196891188621521,,1.7644562721252441,,
6,6,,,,,0.3958333432674408,1.7028604745864868
6,6,0.3897550106048584,,1.7645938396453857,,,
7,7,,0.37823835015296936,,1.7613662481307983,,
7,7,,,,,0.3958333432674408,1.6750997304916382
7,7,0.3897550106048584,,1.7574172019958496,,,
8,8,,0.393782377243042,,1.7396248579025269,,
8,8,,,,,0.3958333432674408,1.6515604257583618
8,8,0.3897550106048584,,1.7481273412704468,,,
9,9,,0.44041451811790466,,1.717500925064087,,
9,9,,,,,0.3958333432674408,1.6426035165786743
9,9,0.3897550106048584,,1.738272786140442,,,
10,10,,0.39896371960639954,,1.728621482849121,,
10,10,,,,,0.3958333432674408,1.6491775512695312
10,10,0.3897550106048584,,1.7292569875717163,,,
11,11,,0.393782377243042,,1.7093576192855835,,
11,11,,,,,0.3958333432674408,1.6605390310287476
11,11,0.3897550106048584,,1.7251908779144287,,,
12,12,,0.41450777649879456,,1.7038638591766357,,
12,12,,,,,0.3958333432674408,1.6680291891098022
12,12,0.3897550106048584,,1.7117069959640503,,,
13,13,,0.393782377243042,,1.7004575729370117,,
13,13,,,,,0.3958333432674408,1.6689872741699219
13,13,0.3897550106048584,,1.7102638483047485,,,
14,14,,0.3834196925163269,,1.7139681577682495,,
14,14,,,,,0.3958333432674408,1.6563047170639038
14,14,0.3897550106048584,,1.6991413831710815,,,
15,15,,0.3834196925163269,,1.6731563806533813,,
15,15,,,,,0.3958333432674408,1.6343803405761719
15,15,0.3897550106048584,,1.689186453819275,,,
16,16,,0.3834196925163269,,1.6897116899490356,,
16,16,,,,,0.3958333432674408,1.6241226196289062
16,16,0.3897550106048584,,1.6717262268066406,,,
17,17,,0.3678756356239319,,1.6738649606704712,,
17,17,,,,,0.3958333432674408,1.6272634267807007
17,17,0.3897550106048584,,1.6656776666641235,,,
18,18,,0.393782377243042,,1.6569265127182007,,
18,18,,,,,0.3958333432674408,1.6321512460708618
18,18,0.3897550106048584,,1.6525019407272339,,,
19,19,,0.41450777649879456,,1.590920090675354,,
19,19,,,,,0.3958333432674408,1.6275736093521118
19,19,0.3897550106048584,,1.642699122428894,,,
20,20,,0.35233160853385925,,1.6548622846603394,,
20,20,,,,,0.3958333432674408,1.6177774667739868
20,20,0.3897550106048584,,1.6305559873580933,,,
21,21,,0.31606218218803406,,1.7114933729171753,,
21,21,,,,,0.3958333432674408,1.6182479858398438
21,21,0.3897550106048584,,1.6228630542755127,,,
22,22,,0.3471502661705017,,1.6344667673110962,,
22,22,,,,,0.3958333432674408,1.616528868675232
22,22,0.39198216795921326,,1.5952630043029785,,,
23,23,,0.3678756356239319,,1.6303811073303223,,
23,23,,,,,0.3958333432674408,1.6530557870864868
23,23,0.3942093551158905,,1.5878403186798096,,,
24,24,,0.3730570077896118,,1.5778369903564453,,
24,24,,,,,0.3958333432674408,1.6414514780044556
24,24,0.40089085698127747,,1.5673776865005493,,,
25,25,,0.35233160853385925,,1.5780996084213257,,
25,25,,,,,0.40625,1.61566162109375
25,25,0.4031180441379547,,1.5495516061782837,,,
26,26,,0.393782377243042,,1.546108365058899,,
26,26,,,,,0.3958333432674408,1.7135696411132812
26,26,0.4142538905143738,,1.5359745025634766,,,
27,27,,0.38860103487968445,,1.5467230081558228,,
27,27,,,,,0.3958333432674408,1.7901573181152344
27,27,0.423162579536438,,1.5150395631790161,,,
28,28,,0.5077720284461975,,1.4254170656204224,,
28,28,,,,,0.40625,1.6439870595932007
28,28,0.43429845571517944,,1.5037485361099243,,,
29,29,,0.4559585452079773,,1.4389846324920654,,
29,29,,,,,0.40625,1.589307188987732
29,29,0.44320711493492126,,1.4808329343795776,,,
30,30,,0.49740931391716003,,1.4311050176620483,,
30,30,,,,,0.40625,1.610643982887268
30,30,0.46325168013572693,,1.461191177368164,,,
31,31,,0.4818652868270874,,1.4476269483566284,,
31,31,,,,,0.40625,1.640870451927185
31,31,0.4788418710231781,,1.4405581951141357,,,
32,32,,0.4559585452079773,,1.4601449966430664,,
32,32,,,,,0.40625,1.6072921752929688
32,32,0.46325168013572693,,1.4219696521759033,,,
33,33,,0.5025906562805176,,1.3834604024887085,,
33,33,,,,,0.3854166567325592,1.6422170400619507
33,33,0.4988864064216614,,1.402579426765442,,,
34,34,,0.43523314595222473,,1.4296619892120361,,
34,34,,,,,0.3854166567325592,1.6770235300064087
34,34,0.4988864064216614,,1.3889355659484863,,,
35,35,,0.4559585452079773,,1.3702423572540283,,
35,35,,,,,0.3958333432674408,1.6463063955307007
35,35,0.5033407807350159,,1.3622608184814453,,,
36,36,,0.5388600826263428,,1.339735984802246,,
36,36,,,,,0.3958333432674408,1.650299072265625
36,36,0.5033407807350159,,1.3550469875335693,,,
37,37,,0.4922279715538025,,1.3685030937194824,,
37,37,,,,,0.3958333432674408,1.7233505249023438
37,37,0.5144765973091125,,1.3404229879379272,,,
38,38,,0.5699481964111328,,1.2685078382492065,,
38,38,,,,,0.40625,1.6577810049057007
38,38,0.4966592490673065,,1.3212660551071167,,,
39,39,,0.5284973978996277,,1.3235127925872803,,
39,39,,,,,0.3958333432674408,1.6440988779067993
39,39,0.5011135935783386,,1.3142513036727905,,,
40,40,,0.5233160853385925,,1.3009535074234009,,
40,40,,,,,0.3854166567325592,1.635986328125
40,40,0.5122494697570801,,1.2996217012405396,,,
41,41,,0.5129533410072327,,1.2608453035354614,,
41,41,,,,,0.3854166567325592,1.641693115234375
41,41,0.4988864064216614,,1.2732692956924438,,,
42,42,,0.5284973978996277,,1.2709002494812012,,
42,42,,,,,0.375,1.636400818824768
