epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
9,19,,,,,0.27131783962249756,1.7799527645111084
9,19,0.41860464215278625,,1.5671554803848267,,,
10,20,,0.3984375,,1.5643094778060913,,
10,21,,0.36666667461395264,,1.553466796875,,
10,21,,,,,0.2868216931819916,1.7853648662567139
10,21,0.41528239846229553,,1.5438226461410522,,,
11,22,,0.4609375,,1.5280953645706177,,
11,23,,0.42222222685813904,,1.6123273372650146,,
11,23,,,,,0.302325576543808,1.7921128273010254
11,23,0.4651162922382355,,1.523954153060913,,,
12,24,,0.45703125,,1.4927542209625244,,
12,25,,0.42222222685813904,,1.4851986169815063,,
12,25,,,,,0.2945736348628998,1.8008158206939697
12,25,0.4634551405906677,,1.5012929439544678,,,
13,26,,0.4375,,1.495153784751892,,
13,27,,0.4333333373069763,,1.4667586088180542,,
13,27,,,,,0.27906978130340576,1.8114633560180664
13,27,0.4568106234073639,,1.485695481300354,,,
14,28,,0.421875,,1.467007040977478,,
14,29,,0.5,,1.421006202697754,,
14,29,,,,,0.302325576543808,1.82201087474823
14,29,0.41528239846229553,,1.4812620878219604,,,
15,30,,0.4765625,,1.478777527809143,,
15,31,,0.5555555820465088,,1.3175225257873535,,
15,31,,,,,0.2945736348628998,1.831078290939331
15,31,0.48172757029533386,,1.4478390216827393,,,
16,32,,0.45703125,,1.4640682935714722,,
16,33,,0.4333333373069763,,1.4639345407485962,,
16,33,,,,,0.27906978130340576,1.8393058776855469
16,33,0.4651162922382355,,1.4451284408569336,,,
17,34,,0.47265625,,1.4064608812332153,,
17,35,,0.4000000059604645,,1.377209186553955,,
17,35,,,,,0.27131783962249756,1.8464932441711426
17,35,0.460132896900177,,1.421893835067749,,,
18,36,,0.46484375,,1.4187041521072388,,
18,37,,0.6111111044883728,,1.300824761390686,,
18,37,,,,,0.27906978130340576,1.8522520065307617
18,37,0.4833886921405792,,1.407175064086914,,,
19,38,,0.50390625,,1.3561571836471558,,
19,39,,0.4444444477558136,,1.3910115957260132,,
19,39,,,,,0.302325576543808,1.8586492538452148
19,39,0.4883720874786377,,1.3837158679962158,,,
20,40,,0.49609375,,1.360950231552124,,
20,41,,0.42222222685813904,,1.4396142959594727,,
20,41,,,,,0.2868216931819916,1.8651862144470215
20,41,0.48172757029533386,,1.3760603666305542,,,
21,42,,0.47265625,,1.3764355182647705,,
21,43,,0.4888888895511627,,1.2892776727676392,,
21,43,,,,,0.27906978130340576,1.867059350013733
21,43,0.5033222436904907,,1.3506827354431152,,,
22,44,,0.55859375,,1.2881981134414673,,
22,45,,0.46666666865348816,,1.3543446063995361,,
22,45,,,,,0.27131783962249756,1.8674198389053345
22,45,0.5215947031974792,,1.3493765592575073,,,
23,46,,0.53515625,,1.3403120040893555,,
23,47,,0.4888888895511627,,1.3264240026474,,
23,47,,,,,0.24806201457977295,1.8656749725341797
23,47,0.5166112780570984,,1.3339731693267822,,,
24,48,,0.5234375,,1.2979344129562378,,
24,49,,0.6111111044883728,,1.288413405418396,,
24,49,,,,,0.25581395626068115,1.8658101558685303
24,49,0.5049833655357361,,1.319157361984253,,,
25,50,,0.52734375,,1.293634057044983,,
25,51,,0.5444444417953491,,1.3286100625991821,,
25,51,,,,,0.27131783962249756,1.8677641153335571
25,51,0.539867103099823,,1.288029432296753,,,
26,52,,0.5546875,,1.275892972946167,,
26,53,,0.5111111402511597,,1.3436490297317505,,
26,53,,,,,0.27131783962249756,1.8672399520874023
26,53,0.5282391905784607,,1.2820285558700562,,,
27,54,,0.55859375,,1.2516077756881714,,
27,55,,0.47777777910232544,,1.2878434658050537,,
27,55,,,,,0.27906978130340576,1.8652700185775757
27,55,0.5215947031974792,,1.287929654121399,,,
28,56,,0.54296875,,1.2354388236999512,,
28,57,,0.5,,1.2823867797851562,,
28,57,,,,,0.27906978130340576,1.8593028783798218
28,57,0.5365448594093323,,1.2562987804412842,,,
29,58,,0.546875,,1.2597920894622803,,
29,59,,0.5555555820465088,,1.1947144269943237,,
29,59,,,,,0.26356589794158936,1.8512167930603027
29,59,0.5564783811569214,,1.2354568243026733,,,
30,60,,0.5546875,,1.2516628503799438,,
30,61,,0.5,,1.2536299228668213,,
30,61,,,,,0.27906978130340576,1.8434484004974365
30,61,0.5531561374664307,,1.2405346632003784,,,
31,62,,0.515625,,1.2874292135238647,,
31,63,,0.5555555820465088,,1.171832799911499,,
31,63,,,,,0.27131783962249756,1.8349708318710327
31,63,0.5282391905784607,,1.2346264123916626,,,
32,64,,0.57421875,,1.183204174041748,,
32,65,,0.5777778029441833,,1.1971968412399292,,
32,65,,,,,0.27906978130340576,1.8264403343200684
32,65,0.5681062936782837,,1.1853370666503906,,,
33,66,,0.578125,,1.1871414184570312,,
33,67,,0.6111111044883728,,1.1168550252914429,,
33,67,,,,,0.27906978130340576,1.821681022644043
33,67,0.5764119625091553,,1.1743181943893433,,,
34,68,,0.5546875,,1.154729962348938,,
34,69,,0.6333333253860474,,1.161633014678955,,
34,69,,,,,0.2945736348628998,1.8226284980773926
34,69,0.5730897188186646,,1.160735011100769,,,
35,70,,0.6015625,,1.139333724975586,,
35,71,,0.5333333611488342,,1.2188793420791626,,
35,71,,,,,0.302325576543808,1.824550986289978
35,71,0.5913621187210083,,1.1350091695785522,,,
36,72,,0.625,,1.095245599746704,,
36,73,,0.6000000238418579,,1.1007006168365479,,
36,73,,,,,0.2945736348628998,1.828872799873352
36,73,0.6146179437637329,,1.11835515499115,,,
37,74,,0.58984375,,1.1334110498428345,,
37,75,,0.6666666865348816,,1.0534143447875977,,
37,75,,,,,0.2945736348628998,1.8313119411468506
37,75,0.5930232405662537,,1.1400574445724487,,,
38,76,,0.6171875,,1.099273681640625,,
