class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,,,,,,0,0,,,,0.140625,,1.7920688390731812,,
,,,,,,0,1,,,,0.1328125,,1.7913296222686768,,
,,,,,,0,2,,,,0.30612245202064514,,1.7791037559509277,,
,,,,,,0,2,,,,,,,0.13732394576072693,1.7976417541503906
,,,,,,0,2,,,0.15500375628471375,,1.7906532287597656,,,
,,,,,,1,3,,,,0.15625,,1.78704035282135,,
,,,,,,1,4,,,,0.13671875,,1.7916213274002075,,
,,,,,,1,5,,,,0.22448979318141937,,1.776298999786377,,
,,,,,,1,5,,,,,,,0.1267605572938919,1.8080366849899292
,,,,,,1,5,,,0.17080511152744293,,1.7845627069473267,,,
,,,,,,2,6,,,,0.20703125,,1.7699090242385864,,
,,,,,,2,7,,,,0.171875,,1.7842075824737549,,
,,,,,,2,8,,,,0.20408163964748383,,1.7536892890930176,,
,,,,,,2,8,,,,,,,0.1267605572938919,1.844492793083191
,,,,,,2,8,,,0.17607223987579346,,1.7785087823867798,,,
,,,,,,3,9,,,,0.1484375,,1.7888860702514648,,
,,,,,,3,10,,,,0.203125,,1.7788989543914795,,
,,,,,,3,11,,,,0.22448979318141937,,1.7057112455368042,,
,,,,,,3,11,,,,,,,0.1267605572938919,1.9217443466186523
,,,,,,3,11,,,0.18434913456439972,,1.771430492401123,,,
,,,,,,4,12,,,,0.1640625,,1.7735539674758911,,
,,,,,,4,13,,,,0.16796875,,1.7708837985992432,,
,,,,,,4,14,,,,0.18367347121238708,,1.7718099355697632,,
,,,,,,4,14,,,,,,,0.13732394576072693,1.988370656967163
,,,,,,4,14,,,0.18660646677017212,,1.7599354982376099,,,
,,,,,,5,15,,,,0.20703125,,1.7527304887771606,,
,,,,,,5,16,,,,0.19921875,,1.7352344989776611,,
,,,,,,5,17,,,,0.16326530277729034,,1.7684475183486938,,
,,,,,,5,17,,,,,,,0.14084507524967194,2.0194830894470215
,,,,,,5,17,,,0.18510158360004425,,1.7519259452819824,,,
,,,,,,6,18,,,,0.1640625,,1.7354786396026611,,
,,,,,,6,19,,,,0.20703125,,1.7528505325317383,,
,,,,,,6,20,,,,0.20408163964748383,,1.7733486890792847,,
,,,,,,6,20,,,,,,,0.14084507524967194,1.874659538269043
,,,,,,6,20,,,0.18961624801158905,,1.7434488534927368,,,
,,,,,,7,21,,,,0.21484375,,1.7251566648483276,,
,,,,,,7,22,,,,0.18359375,,1.733017921447754,,
,,,,,,7,23,,,,0.040816325694322586,,1.7666569948196411,,
,,,,,,7,23,,,,,,,0.14788731932640076,1.8152800798416138
,,,,,,7,23,,,0.19488337635993958,,1.7339528799057007,,,
,,,,,,8,24,,,,0.1640625,,1.733900785446167,,
,,,,,,8,25,,,,0.21484375,,1.735178828239441,,
,,,,,,8,26,,,,0.36734694242477417,,1.669219970703125,,
,,,,,,8,26,,,,,,,0.14788731932640076,1.8520938158035278
,,,,,,8,26,,,0.1956358104944229,,1.7224115133285522,,,
,,,,,,9,27,,,,0.19140625,,1.724611520767212,,
,,,,,,9,28,,,,0.1875,,1.7205393314361572,,
,,,,,,9,29,,,,0.26530611515045166,,1.674736499786377,,
,,,,,,9,29,,,,,,,0.14084507524967194,1.8119498491287231
,,,,,,9,29,,,0.1956358104944229,,1.7121589183807373,,,
,,,,,,10,30,,,,0.1875,,1.709303617477417,,
,,,,,,10,31,,,,0.1875,,1.6901174783706665,,
,,,,,,10,32,,,,0.22448979318141937,,1.6995480060577393,,
,,,,,,10,32,,,,,,,0.17957746982574463,1.7899049520492554
,,,,,,10,32,,,0.2001504898071289,,1.695037841796875,,,
,,,,,,11,33,,,,0.21484375,,1.6658456325531006,,
,,,,,,11,34,,,,0.17578125,,1.6969475746154785,,
