epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,1,,,0.3045977056026459,1.3843671083450317
0,1,0.28378379344940186,1.385138750076294,,
1,3,,,0.40229883790016174,1.3782552480697632
1,3,0.4324324429035187,1.3699887990951538,,
2,5,,,0.4482758641242981,1.3604806661605835
2,5,0.5110564827919006,1.351509690284729,,
3,7,,,0.45402297377586365,1.3343267440795898
3,7,0.4815724790096283,1.3207744359970093,,
4,9,,,0.517241358757019,1.2841740846633911
4,9,0.5085995197296143,1.2795746326446533,,
5,11,,,0.48275861144065857,1.2269666194915771
5,11,0.5196560025215149,1.2202856540679932,,
6,13,,,0.5747126340866089,1.154247760772705
6,13,0.5343980193138123,1.1588529348373413,,
7,15,,,0.49425286054611206,1.0754286050796509
7,15,0.547911524772644,1.1057924032211304,,
8,17,,,0.540229856967926,1.0344653129577637
8,17,0.5491400361061096,1.0435519218444824,,
9,19,,,0.545976996421814,1.0016204118728638
9,19,0.5749385952949524,1.0175137519836426,,
10,21,,,0.5,1.0944857597351074
10,21,0.5896806120872498,0.9569734334945679,,
11,23,,,0.5057471394538879,0.9913954734802246
11,23,0.5454545617103577,0.9611177444458008,,
12,25,,,0.5804597735404968,0.9288812279701233
12,25,0.5982800722122192,0.9276612401008606,,
13,27,,,0.5862069129943848,0.9142720103263855
13,27,0.6093366146087646,0.88832026720047,,
14,29,,,0.522988498210907,0.9837294816970825
14,29,0.5933660864830017,0.9086265563964844,,
15,31,,,0.5804597735404968,0.9082283973693848
15,31,0.6142506003379822,0.8495990037918091,,
16,33,,,0.6264367699623108,0.910011887550354
16,33,0.6339066624641418,0.7974149584770203,,
17,35,,,0.545976996421814,0.958648681640625
17,35,0.6523341536521912,0.8029723167419434,,
18,37,,,0.540229856967926,0.9278316497802734
18,37,0.6326781511306763,0.803873598575592,,
19,39,,,0.6206896305084229,0.8370915651321411
19,39,0.6609336733818054,0.7658311724662781,,
20,41,,,0.5804597735404968,0.886500895023346
20,41,0.671990156173706,0.7499929666519165,,
21,43,,,0.5862069129943848,0.9533144235610962
21,43,0.6535626649856567,0.7807725071907043,,
22,45,,,0.5804597735404968,0.8570099472999573
22,45,0.6437346339225769,0.7822051644325256,,
