class_0_acc,class_1_acc,class_2_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,0,102,,,,,0.5170696973800659,0.9862135052680969
,,,0,102,,,0.4676116406917572,1.060441017150879,,
,,,1,205,,,,,0.529160737991333,0.9641731381416321
,,,1,205,,,0.5150129795074463,1.007743239402771,,
,,,2,308,,,,,0.5462304353713989,0.9216475486755371
,,,2,308,,,0.5294924378395081,0.9722963571548462,,
,,,3,411,,,,,0.5526315569877625,0.9181944727897644
,,,3,411,,,0.5564700365066528,0.9459410905838013,,
,,,4,514,,,,,0.5533428192138672,0.914760172367096
,,,4,514,,,0.5669867396354675,0.9279280304908752,,
,,,5,617,,,,,0.5796586275100708,0.8766307830810547
,,,5,617,,,0.5842097401618958,0.898842453956604,,
,,,6,720,,,,,0.5625889301300049,0.9139950275421143
,,,6,720,,,0.6020423769950867,0.8699822425842285,,
,,,7,823,,,,,0.5945945978164673,0.8672815561294556
,,,7,823,,,0.630544126033783,0.828973114490509,,
,,,8,926,,,,,0.5910384058952332,0.8818956613540649
,,,8,926,,,0.636183500289917,0.8085013031959534,,
,,,9,1029,,,,,0.6052631735801697,0.877589762210846
,,,9,1029,,,0.6558451652526855,0.7804391980171204,,
,,,10,1132,,,,,0.5853484869003296,0.9044094681739807
,,,10,1132,,,0.6761164665222168,0.7537391781806946,,
,,,11,1235,,,,,0.6145092248916626,0.8659864068031311
,,,11,1235,,,0.6877000331878662,0.7239433526992798,,
,,,12,1338,,,,,0.6123755574226379,0.8780559301376343
,,,12,1338,,,0.7052278518676758,0.6896452307701111,,
,,,13,1441,,,,,0.6194878816604614,0.8870770335197449
,,,13,1441,,,0.7261088490486145,0.6489608883857727,,
,,,14,1544,,,,,0.6301564574241638,0.903563916683197
,,,14,1544,,,0.7352537512779236,0.6327235102653503,,
,,,15,1647,,,,,0.633712649345398,0.8584921360015869
,,,15,1647,,,0.7497332692146301,0.6042064428329468,,
,,,16,1750,,,,,0.6280227303504944,0.9175422191619873
,,,16,1750,,,0.759792685508728,0.5728809237480164,,
,,,17,1853,,,,,0.6301564574241638,0.9263444542884827
,,,17,1853,,,0.7721384167671204,0.5575065612792969,,
,,,18,1956,,,,,0.6401137709617615,0.9065835475921631
,,,18,1956,,,0.7867702841758728,0.5265159010887146,,
,,,19,2059,,,,,0.6486486196517944,0.9403990507125854
,,,19,2059,,,0.7892089486122131,0.5147866606712341,,
,,,20,2162,,,,,0.6500711441040039,0.9346550703048706
,,,20,2162,,,0.8007925748825073,0.48892733454704285,,
,,,21,2265,,,,,0.6209104061126709,1.016908884048462
,,,21,2265,,,0.8110044002532959,0.46219775080680847,,
,,,22,2368,,,,,0.6479374170303345,0.9521034359931946
,,,22,2368,,,0.8142051696777344,0.4565468728542328,,
,,,23,2471,,,,,0.6216216087341309,0.9975932240486145
,,,23,2471,,,0.8238073587417603,0.4459589421749115,,
,,,24,2574,,,,,0.633001446723938,1.0175515413284302
,,,24,2574,,,0.8305136561393738,0.41970303654670715,,
,,,25,2677,,,,,0.6386913061141968,1.0911381244659424
,,,25,2677,,,0.8484987020492554,0.39441072940826416,,
,,,26,2780,,,,,0.6422474980354309,0.9894133806228638
,,,26,2780,,,0.8437738418579102,0.3908189535140991,,
,,,27,2883,,,,,0.6465149521827698,1.0751911401748657
,,,27,2883,,,0.8544428944587708,0.36471959948539734,,
,,,28,2986,,,,,0.633712649345398,1.0445938110351562
,,,28,2986,,,0.8498704433441162,0.3710843026638031,,
,,,29,3089,,,,,0.6401137709617615,1.1211532354354858
,,,29,3089,,,0.8631306290626526,0.35109564661979675,,
,,,30,3192,,,,,0.6230440735816956,1.122388482093811
,,,30,3192,,,0.872123122215271,0.33250465989112854,,
,,,31,3295,,,,,0.6607396602630615,1.1039944887161255
,,,31,3295,,,0.8766956329345703,0.310315877199173,,
,,,32,3398,,,,,0.6443812251091003,1.099884033203125
,,,32,3398,,,0.8741045594215393,0.32776546478271484,,
,,,33,3501,,,,,0.6493598818778992,1.1631802320480347
,,,33,3501,,,0.8766956329345703,0.3005003333091736,,
,,,34,3604,,,,,0.633712649345398,1.1366267204284668
,,,34,3604,,,0.8870599269866943,0.2907823920249939,,
,,,35,3707,,,,,0.6408250331878662,1.2002619504928589
,,,35,3707,,,0.8910226821899414,0.2854263186454773,,
,,,36,3810,,,,,0.6386913061141968,1.165858507156372
,,,36,3810,,,0.8971193432807922,0.2692498564720154,,
,,,37,3913,,,,,0.6422474980354309,1.236264944076538
,,,37,3913,,,0.8978814482688904,0.26929405331611633,,
,,,38,4016,,,,,0.6273115277290344,1.247063398361206
,,,38,4016,,,0.8943758606910706,0.2674553394317627,,
,,,39,4119,,,,,0.6443812251091003,1.2698733806610107
,,,39,4119,,,0.9038256406784058,0.2557840645313263,,
,,,40,4222,,,,,0.6386913061141968,1.280538558959961
,,,40,4222,,,0.9029111266136169,0.2547369599342346,,
,,,41,4325,,,,,0.6678520441055298,1.2511403560638428
,,,41,4325,,,0.9087029695510864,0.2323738932609558,,
,,,42,4428,,,,,0.6664295792579651,1.2671728134155273
,,,42,4428,,,0.9097698330879211,0.2371494024991989,,
,,,43,4531,,,,,0.6344239115715027,1.3071447610855103
,,,43,4531,,,0.9154092073440552,0.22651280462741852,,
,,,44,4634,,,,,0.6514936089515686,1.3079510927200317
,,,44,4634,,,0.9180002808570862,0.21425996720790863,,
,,,45,4737,,,,,0.6315789222717285,1.3739020824432373
,,,45,4737,,,0.9067215323448181,0.23057201504707336,,
,,,46,4840,,,,,0.6308677196502686,1.375242829322815
,,,46,4840,,,0.9152567982673645,0.22403283417224884,,
,,,47,4943,,,,,0.6778094172477722,1.2834687232971191
,,,47,4943,,,0.9234872460365295,0.2081604301929474,,
,,,48,5046,,,,,0.6394025683403015,1.4164299964904785
,,,48,5046,,,0.918914794921875,0.21107138693332672,,
,,,49,5149,,,,,0.662162184715271,1.3559900522232056
,,,49,5149,,,0.926688015460968,0.19632206857204437,,
,,,50,5252,,,,,0.654338538646698,1.4068931341171265
,,,50,5252,,,0.9228776097297668,0.20151983201503754,,
,,,51,5355,,,,,0.654338538646698,1.3810676336288452
,,,51,5355,,,0.926688015460968,0.1889154613018036,,
,,,52,5382,,,,,0.6600284576416016,1.4285508394241333
,,,52,5382,,,0.9415509104728699,0.15628105401992798,,
0.7722772359848022,0.5149051547050476,0.5981873273849487,53,5383,0.6638237237930298,1.3910731077194214,,,,
