class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,0,2,,,,,0.18552036583423615,1.6090259552001953
,,,,,0,2,,,0.2949709892272949,1.606218695640564,,
,,,,,1,5,,,,,0.3257918655872345,1.5869096517562866
,,,,,1,5,,,0.3568665385246277,1.5859733819961548,,
,,,,,2,8,,,,,0.3031674325466156,1.5407460927963257
,,,,,2,8,,,0.3675048351287842,1.5499539375305176,,
,,,,,3,11,,,,,0.2760181128978729,1.4881751537322998
,,,,,3,11,,,0.3665377199649811,1.500407099723816,,
,,,,,4,14,,,,,0.3484162986278534,1.4451136589050293
,,,,,4,14,,,0.3433268964290619,1.4568456411361694,,
,,,,,5,17,,,,,0.37556561827659607,1.3839746713638306
,,,,,5,17,,,0.3762089014053345,1.4062098264694214,,
,,,,,6,20,,,,,0.3936651647090912,1.3452767133712769
,,,,,6,20,,,0.39071565866470337,1.3735342025756836,,
,,,,,7,23,,,,,0.438914030790329,1.300971269607544
,,,,,7,23,,,0.43423599004745483,1.329098105430603,,
,,,,,8,26,,,,,0.4117647111415863,1.3062794208526611
,,,,,8,26,,,0.44970986247062683,1.2862083911895752,,
,,,,,9,29,,,,,0.4841628968715668,1.2488212585449219
,,,,,9,29,,,0.44680851697921753,1.2567944526672363,,
,,,,,10,32,,,,,0.46606335043907166,1.2176483869552612
,,,,,10,32,,,0.457446813583374,1.211570382118225,,
,,,,,11,35,,,,,0.42533937096595764,1.2350382804870605
,,,,,11,35,,,0.4661508798599243,1.2022234201431274,,
,,,,,12,38,,,,,0.4751131236553192,1.1259279251098633
,,,,,12,38,,,0.4961315393447876,1.149185061454773,,
,,,,,13,41,,,,,0.529411792755127,1.109537124633789
,,,,,13,41,,,0.4622823894023895,1.1660701036453247,,
,,,,,14,44,,,,,0.4343891441822052,1.1636369228363037
,,,,,14,44,,,0.4883945882320404,1.1133677959442139,,
,,,,,15,47,,,,,0.5158371329307556,1.0538382530212402
,,,,,15,47,,,0.5029013752937317,1.0844975709915161,,
,,,,,16,50,,,,,0.4570135772228241,1.3003523349761963
,,,,,16,50,,,0.5106382966041565,1.0664695501327515,,
,,,,,17,53,,,,,0.5067873597145081,1.0257967710494995
,,,,,17,53,,,0.511605441570282,1.056175708770752,,
,,,,,18,56,,,,,0.44796380400657654,1.7371467351913452
,,,,,18,56,,,0.509671151638031,1.040265679359436,,
,,,,,19,59,,,,,0.529411792755127,1.1782798767089844
,,,,,19,59,,,0.5029013752937317,1.0787097215652466,,
,,,,,20,62,,,,,0.4841628968715668,1.0562832355499268
,,,,,20,62,,,0.5415861010551453,1.0632551908493042,,
